year,job_title,job_title_clean,count,avg_regular_pay,avg_overtime_pay,avg_other_pay,avg_total_pay,avg_benefits,avg_total_pay_benefits,estimated_regular_pay,estimated_overtime_pay,estimated_other_pay,estimated_total_pay,estimated_benefits,estimated_total_pay_benefits,source_page,source_total_pages,source_url,source_note,scraped_at_utc,cache_version
2016,CHF INV OFCR,CHF INV OFCR,1,641368,0,689043,1330411,70144,1400555,641368,0,689043,1330411,70144,1400555,1,62,https://transparentcalifornia.com/salaries/2016/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:10:54 UTC,2026-03-31-parser-v2
2016,CEO MED CTR,CEO MED CTR,5,837874.6,0,158269.6,996144.2,96155,1092299.2,4189373,0,791348,4980721,480775,5461496,1,62,https://transparentcalifornia.com/salaries/2016/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:10:54 UTC,2026-03-31-parser-v2
2016,VC AND DEAN SOM,VC AND DEAN SOM,4,587978.5,0,215367,803345.5,63830.75,867176.25,2351914,0,861468,3213382,255323,3468705,1,62,https://transparentcalifornia.com/salaries/2016/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:10:54 UTC,2026-03-31-parser-v2
2016,ACT PROF-HCOMP,ACT PROF-HCOMP,3,267939,0,548755.33,816694.33,38364.67,855059,803817,0,1646265.9899999998,2450082.9899999998,115094.01,2565177,1,62,https://transparentcalifornia.com/salaries/2016/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:10:54 UTC,2026-03-31-parser-v2
2016,EXEC VP UC HEALTH,EXEC VP UC HEALTH,1,623014,0,144286,767300,83471,850771,623014,0,144286,767300,83471,850771,1,62,https://transparentcalifornia.com/salaries/2016/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:10:54 UTC,2026-03-31-parser-v2
2016,ATH MGR 4 PAC12,ATH MGR 4 PAC12,1,519000,0,188900,707900,57556,765456,519000,0,188900,707900,57556,765456,1,62,https://transparentcalifornia.com/salaries/2016/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:10:54 UTC,2026-03-31-parser-v2
2016,CFO MED CTR,CFO MED CTR,4,516441.75,0,94357.25,610799,78115.5,688914.5,2065767,0,377429,2443196,312462,2755658,1,62,https://transparentcalifornia.com/salaries/2016/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:10:54 UTC,2026-03-31-parser-v2
2016,PRESIDENT OF THE UNIV,PRESIDENT OF THE UNIV,1,570000,0,8916,578916,72565,651481,570000,0,8916,578916,72565,651481,1,62,https://transparentcalifornia.com/salaries/2016/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:10:54 UTC,2026-03-31-parser-v2
2016,ASC CHF INV OFCR,ASC CHF INV OFCR,1,339632,0,163406,503038,71886,574924,339632,0,163406,503038,71886,574924,1,62,https://transparentcalifornia.com/salaries/2016/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:10:54 UTC,2026-03-31-parser-v2
2016,PRIVATE EQUITY MGR 3,PRIVATE EQUITY MGR 3,1,284444,0,229598,514042,53467,567509,284444,0,229598,514042,53467,567509,1,62,https://transparentcalifornia.com/salaries/2016/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:10:54 UTC,2026-03-31-parser-v2
2016,ABSOLUTE RETURNS INV MGR 3,ABSOLUTE RETURNS INV MGR 3,1,289309,0,208190,497499,57260,554759,289309,0,208190,497499,57260,554759,1,62,https://transparentcalifornia.com/salaries/2016/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:10:54 UTC,2026-03-31-parser-v2
2016,SR MGN DIR FIXED INCOME ASSETS,SR MGN DIR FIXED INCOME ASSETS,1,317311,0,169017,486328,61788,548116,317311,0,169017,486328,61788,548116,1,62,https://transparentcalifornia.com/salaries/2016/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:10:54 UTC,2026-03-31-parser-v2
2016,CHAN,CHAN,9,469717,0,13900.89,483617.89,58671,542288.89,4227453,0,125108.01,4352561.01,528039,4880600.01,1,62,https://transparentcalifornia.com/salaries/2016/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:10:54 UTC,2026-03-31-parser-v2
2016,GEN COUNSEL VP LEGAL AFFAIRS,GEN COUNSEL VP LEGAL AFFAIRS,1,446900,0,8916,455816,70723,526539,446900,0,8916,455816,70723,526539,1,62,https://transparentcalifornia.com/salaries/2016/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:10:54 UTC,2026-03-31-parser-v2
2016,CAO MED CTR,CAO MED CTR,1,357719,0,77521,435240,75826,511066,357719,0,77521,435240,75826,511066,1,62,https://transparentcalifornia.com/salaries/2016/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:10:54 UTC,2026-03-31-parser-v2
2016,REAL ESTATE INV MGR 3,REAL ESTATE INV MGR 3,1,309777,0,144542,454319,54627,508946,309777,0,144542,454319,54627,508946,1,62,https://transparentcalifornia.com/salaries/2016/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:10:54 UTC,2026-03-31-parser-v2
2016,CMO MED CTR,CMO MED CTR,6,387006.33,0,48696.33,435702.67,69855.33,505558,2322037.98,0,292177.98,2614216.02,419131.98,3033348,1,62,https://transparentcalifornia.com/salaries/2016/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:10:54 UTC,2026-03-31-parser-v2
2016,SVP CCAO,SVP CCAO,1,435036,0,8916,443952,58611,502563,435036,0,8916,443952,58611,502563,1,62,https://transparentcalifornia.com/salaries/2016/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:10:54 UTC,2026-03-31-parser-v2
2016,COO MED CTR,COO MED CTR,6,370604.67,0,68933.67,439538.33,57489.17,497027.5,2223628.02,0,413602.02,2637229.98,344935.02,2982165,1,62,https://transparentcalifornia.com/salaries/2016/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:10:54 UTC,2026-03-31-parser-v2
2016,EXEC VP CFO,EXEC VP CFO,1,417150,0,8916,426066,70567,496633,417150,0,8916,426066,70567,496633,1,62,https://transparentcalifornia.com/salaries/2016/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:10:54 UTC,2026-03-31-parser-v2
2016,SR MGN DIR PUBL EQUITY INV,SR MGN DIR PUBL EQUITY INV,1,314150,0,97335,411485,68924,480409,314150,0,97335,411485,68924,480409,1,62,https://transparentcalifornia.com/salaries/2016/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:10:54 UTC,2026-03-31-parser-v2
2016,CHF NURSE OFCR,CHF NURSE OFCR,4,326696,0,70830.75,397526.75,63627.25,461154,1306784,0,283323,1590107,254509,1844616,1,62,https://transparentcalifornia.com/salaries/2016/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:10:54 UTC,2026-03-31-parser-v2
2016,PRIVATE EQUITY INV DIR,PRIVATE EQUITY INV DIR,1,236651,0,184713,421364,33131,454495,236651,0,184713,421364,33131,454495,1,62,https://transparentcalifornia.com/salaries/2016/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:10:54 UTC,2026-03-31-parser-v2
2016,PROF-AY-1/9,PROF-AY-1/9,1,407930,0,0,407930,45523,453453,407930,0,0,407930,45523,453453,1,62,https://transparentcalifornia.com/salaries/2016/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:10:54 UTC,2026-03-31-parser-v2
