year,job_title,job_title_clean,count,avg_regular_pay,avg_overtime_pay,avg_other_pay,avg_total_pay,avg_benefits,avg_total_pay_benefits,estimated_regular_pay,estimated_overtime_pay,estimated_other_pay,estimated_total_pay,estimated_benefits,estimated_total_pay_benefits,source_page,source_total_pages,source_url,source_note,scraped_at_utc,cache_version
2015,CHF INV OFCR,CHF INV OFCR,1,621618,0,485070,1106688,97413,1204101,621618,0,485070,1106688,97413,1204101,1,58,https://transparentcalifornia.com/salaries/2015/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:10:01 UTC,2026-03-31-parser-v2
2015,SR MGN DIR FIXED INCOME ASSETS,SR MGN DIR FIXED INCOME ASSETS,1,221788,0,795065,1016853,33414,1050267,221788,0,795065,1016853,33414,1050267,1,58,https://transparentcalifornia.com/salaries/2015/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:10:01 UTC,2026-03-31-parser-v2
2015,CEO MED CTR,CEO MED CTR,4,715020.25,0,195569.75,910590,75358.5,985948.5,2860081,0,782279,3642360,301434,3943794,1,58,https://transparentcalifornia.com/salaries/2015/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:10:01 UTC,2026-03-31-parser-v2
2015,EXEC VP UC HEALTH,EXEC VP UC HEALTH,1,603829,0,182916,786745,98435,885180,603829,0,182916,786745,98435,885180,1,58,https://transparentcalifornia.com/salaries/2015/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:10:01 UTC,2026-03-31-parser-v2
2015,VC AND DEAN SOM,VC AND DEAN SOM,8,384960.62,0,249791.38,634752,52388.75,687140.75,3079684.96,0,1998331.04,5078016,419110,5497126,1,58,https://transparentcalifornia.com/salaries/2015/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:10:01 UTC,2026-03-31-parser-v2
2015,COO MED CTR,COO MED CTR,5,510199.6,0,99392.6,609592.2,74841,684433.2,2550998,0,496963,3047961,374205,3422166,1,58,https://transparentcalifornia.com/salaries/2015/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:10:01 UTC,2026-03-31-parser-v2
2015,PRESIDENT OF THE UNIV,PRESIDENT OF THE UNIV,1,570000,0,14503,584503,69964,654467,570000,0,14503,584503,69964,654467,1,58,https://transparentcalifornia.com/salaries/2015/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:10:01 UTC,2026-03-31-parser-v2
2015,CMO MED CTR,CMO MED CTR,5,460710.8,0,82168.2,542879,87863.2,630742.2,2303554,0,410841,2714395,439316,3153711,1,58,https://transparentcalifornia.com/salaries/2015/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:10:01 UTC,2026-03-31-parser-v2
2015,CFO HEALTH SYS AND CAMPUS,CFO HEALTH SYS AND CAMPUS,2,345773,0,205801,551574,76556,628130,691546,0,411602,1103148,153112,1256260,1,58,https://transparentcalifornia.com/salaries/2015/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:10:01 UTC,2026-03-31-parser-v2
2015,PRIVATE EQUITY MGR 3,PRIVATE EQUITY MGR 3,1,290169,0,241453,531622,56073,587695,290169,0,241453,531622,56073,587695,1,58,https://transparentcalifornia.com/salaries/2015/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:10:01 UTC,2026-03-31-parser-v2
