year,job_title,job_title_clean,count,avg_regular_pay,avg_overtime_pay,avg_other_pay,avg_total_pay,avg_benefits,avg_total_pay_benefits,estimated_regular_pay,estimated_overtime_pay,estimated_other_pay,estimated_total_pay,estimated_benefits,estimated_total_pay_benefits,source_page,source_total_pages,source_url,source_note,scraped_at_utc,cache_version
2023,Chf Inv Ofcr,CHF INV OFCR,1,759353,0,1210300,1969653,117800,2087453,759353,0,1210300,1969653,117800,2087453,1,65,https://transparentcalifornia.com/salaries/2023/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:18:40 UTC,2026-03-31-parser-v2
2023,Ath Mgr 4 Pac12,ATH MGR 4 PAC12,2,300000,0,1048479,1348479,48710.5,1397189.5,600000,0,2096958,2696958,97421,2794379,1,65,https://transparentcalifornia.com/salaries/2023/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:18:40 UTC,2026-03-31-parser-v2
2023,Ceo Med Ctr,CEO MED CTR,7,1018921.57,0,280476.43,1299398,69990.86,1369388.86,7132450.989999999,0,1963335.01,9095786,489936.02,9585722.020000001,1,65,https://transparentcalifornia.com/salaries/2023/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:18:40 UTC,2026-03-31-parser-v2
2023,Vc Health Sciences,VC HEALTH SCIENCES,1,889045,0,160000,1049045,120558,1169603,889045,0,160000,1049045,120558,1169603,1,65,https://transparentcalifornia.com/salaries/2023/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:18:40 UTC,2026-03-31-parser-v2
2023,Svp Child Svc/Pres Benioff,SVP CHILD SVC/PRES BENIOFF,1,810539,0,282767,1093306,37505,1130811,810539,0,282767,1093306,37505,1130811,1,65,https://transparentcalifornia.com/salaries/2023/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:18:40 UTC,2026-03-31-parser-v2
2023,Vc And Dean Som,VC AND DEAN SOM,4,839141.25,0,214207,1053348.25,66410.75,1119759,3356565,0,856828,4213393,265643,4479036,1,65,https://transparentcalifornia.com/salaries/2023/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:18:40 UTC,2026-03-31-parser-v2
2023,President Of The Univ,PRESIDENT OF THE UNIV,1,976325,0,0,976325,62294,1038619,976325,0,0,976325,62294,1038619,1,65,https://transparentcalifornia.com/salaries/2023/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:18:40 UTC,2026-03-31-parser-v2
2023,Exec Vp Physcn Svc Vd Clin Aff,EXEC VP PHYSCN SVC VD CLIN AFF,1,843297,0,87466,930763,106722,1037485,843297,0,87466,930763,106722,1037485,1,65,https://transparentcalifornia.com/salaries/2023/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:18:40 UTC,2026-03-31-parser-v2
2023,Cfo Med Ctr,CFO MED CTR,4,742264,0,135566.25,877830.25,65085,942915.25,2969056,0,542265,3511321,260340,3771661,1,65,https://transparentcalifornia.com/salaries/2023/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:18:40 UTC,2026-03-31-parser-v2
2023,Coo Inv Svc Ocio,COO INV SVC OCIO,1,428002,0,406290,834292,99608,933900,428002,0,406290,834292,99608,933900,1,65,https://transparentcalifornia.com/salaries/2023/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:18:40 UTC,2026-03-31-parser-v2
2023,Coo Med Ctr,COO MED CTR,6,689352.5,0,177739.67,867092.17,65998.17,933090.33,4136115,0,1066438.02,5202553.0200000005,395989.02,5598541.9799999995,1,65,https://transparentcalifornia.com/salaries/2023/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:18:40 UTC,2026-03-31-parser-v2
2023,Sr Mgn Dir Inv Ocio,SR MGN DIR INV OCIO,1,411528,0,370330,781858,77774,859632,411528,0,370330,781858,77774,859632,1,65,https://transparentcalifornia.com/salaries/2023/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:18:40 UTC,2026-03-31-parser-v2
2023,Cso Head Of Hlth Affil Network,CSO HEAD OF HLTH AFFIL NETWORK,2,739704,0,54001,793705,59311.5,853016.5,1479408,0,108002,1587410,118623,1706033,1,65,https://transparentcalifornia.com/salaries/2023/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:18:40 UTC,2026-03-31-parser-v2
2023,Chf Hr Ofcr Hc Me,CHF HR OFCR HC ME,1,629222,0,153932,783154,58700,841854,629222,0,153932,783154,58700,841854,1,65,https://transparentcalifornia.com/salaries/2023/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:18:40 UTC,2026-03-31-parser-v2
2023,Cmo Med Ctr,CMO MED CTR,5,600144.2,0,153011.2,753155.4,81216.4,834371.8,3000721,0,765056,3765777,406082,4171859,1,65,https://transparentcalifornia.com/salaries/2023/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:18:40 UTC,2026-03-31-parser-v2
2023,Fixed Income Inv Mgr 3,FIXED INCOME INV MGR 3,2,402878,0,337599.5,740477.5,68237.5,808715,805756,0,675199,1480955,136475,1617430,1,65,https://transparentcalifornia.com/salaries/2023/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:18:40 UTC,2026-03-31-parser-v2
2023,Cso Med Ctr,CSO MED CTR,2,628785.5,0,116355,745140.5,62330.5,807471,1257571,0,232710,1490281,124661,1614942,1,65,https://transparentcalifornia.com/salaries/2023/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:18:40 UTC,2026-03-31-parser-v2
2023,Cio Med Ctr,CIO MED CTR,1,614315,0,135772,750087,38991,789078,614315,0,135772,750087,38991,789078,1,65,https://transparentcalifornia.com/salaries/2023/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:18:40 UTC,2026-03-31-parser-v2
2023,Chf Real Estate Ofcr Me,CHF REAL ESTATE OFCR ME,1,642906,0,70494,713400,50746,764146,642906,0,70494,713400,50746,764146,1,65,https://transparentcalifornia.com/salaries/2023/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:18:40 UTC,2026-03-31-parser-v2
2023,Chan,CHAN,10,684927.2,0,5349.6,690276.8,72246.1,762522.9,6849272,0,53496,6902768,722461,7625229,1,65,https://transparentcalifornia.com/salaries/2023/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:18:40 UTC,2026-03-31-parser-v2
