year,job_title,job_title_clean,count,avg_regular_pay,avg_overtime_pay,avg_other_pay,avg_total_pay,avg_benefits,avg_total_pay_benefits,estimated_regular_pay,estimated_overtime_pay,estimated_other_pay,estimated_total_pay,estimated_benefits,estimated_total_pay_benefits,source_page,source_total_pages,source_url,source_note,scraped_at_utc,cache_version
2013,CEO MED CTR,CEO MED CTR,5,803862.6,0,281683.4,1085546,78139.4,1163685.4,4019313,0,1408417,5427730,390697,5818427,1,56,https://transparentcalifornia.com/salaries/2013/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:08:23 UTC,2026-03-31-parser-v2
2013,TREASURER OF THE REGENTS,TREASURER OF THE REGENTS,1,272208,0,662785,934993,27862,962855,272208,0,662785,934993,27862,962855,1,56,https://transparentcalifornia.com/salaries/2013/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:08:23 UTC,2026-03-31-parser-v2
2013,SR MGN DIR FIXED INCOME ASSETS,SR MGN DIR FIXED INCOME ASSETS,1,374500,0,423517,798017,61136,859153,374500,0,423517,798017,61136,859153,1,56,https://transparentcalifornia.com/salaries/2013/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:08:23 UTC,2026-03-31-parser-v2
2013,SVP HS AND SVC,SVP HS AND SVC,1,580000,0,124904,704904,71161,776065,580000,0,124904,704904,71161,776065,1,56,https://transparentcalifornia.com/salaries/2013/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:08:23 UTC,2026-03-31-parser-v2
2013,VC AND DEAN SOM,VC AND DEAN SOM,4,458167,0,200447.75,658614.75,48111.5,706726.25,1832668,0,801791,2634459,192446,2826905,1,56,https://transparentcalifornia.com/salaries/2013/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:08:23 UTC,2026-03-31-parser-v2
2013,AST TREASURER OF THE REGENTS,AST TREASURER OF THE REGENTS,1,310635,0,335725,646360,55067,701427,310635,0,335725,646360,55067,701427,1,56,https://transparentcalifornia.com/salaries/2013/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:08:23 UTC,2026-03-31-parser-v2
2013,COO MED CTR,COO MED CTR,4,446528.5,0,72854,519382.5,59360.25,578742.75,1786114,0,291416,2077530,237441,2314971,1,56,https://transparentcalifornia.com/salaries/2013/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:08:23 UTC,2026-03-31-parser-v2
2013,PRIVATE EQUITY MGR 3,PRIVATE EQUITY MGR 3,1,273512,0,241749,515261,44555,559816,273512,0,241749,515261,44555,559816,1,56,https://transparentcalifornia.com/salaries/2013/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:08:23 UTC,2026-03-31-parser-v2
2013,SR MGN DIR PUBL EQUITY INV,SR MGN DIR PUBL EQUITY INV,1,278438,0,227501,505939,47226,553165,278438,0,227501,505939,47226,553165,1,56,https://transparentcalifornia.com/salaries/2013/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:08:23 UTC,2026-03-31-parser-v2
2013,ABSOLUTE RETURNS INV MGR 3,ABSOLUTE RETURNS INV MGR 3,1,274040,0,240641,514681,33692,548373,274040,0,240641,514681,33692,548373,1,56,https://transparentcalifornia.com/salaries/2013/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:08:23 UTC,2026-03-31-parser-v2
2013,EXEC DEAN SAC,EXEC DEAN SAC,1,394875,0,100000,494875,46233,541108,394875,0,100000,494875,46233,541108,1,56,https://transparentcalifornia.com/salaries/2013/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:08:23 UTC,2026-03-31-parser-v2
2013,SR MGN DIR RISK MGT,SR MGN DIR RISK MGT,1,186861,0,318175,505036,35214,540250,186861,0,318175,505036,35214,540250,1,56,https://transparentcalifornia.com/salaries/2013/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:08:23 UTC,2026-03-31-parser-v2
2013,ASSOC DIR (FUNCTL AREA)-EXEC,ASSOC DIR (FUNCTL AREA)-EXEC,5,397937.6,0,74380.8,472318.4,62322.8,534641.2,1989688,0,371904,2361592,311614,2673206,1,56,https://transparentcalifornia.com/salaries/2013/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:08:23 UTC,2026-03-31-parser-v2
2013,ATH MGR 4,ATH MGR 4,1,409847,0,79646,489493,34851,524344,409847,0,79646,489493,34851,524344,1,56,https://transparentcalifornia.com/salaries/2013/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:08:23 UTC,2026-03-31-parser-v2
2013,CMO MED CTR,CMO MED CTR,4,364654,0,76841.5,441495.5,56376.75,497872.25,1458616,0,307366,1765982,225507,1991489,1,56,https://transparentcalifornia.com/salaries/2013/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:08:23 UTC,2026-03-31-parser-v2
2013,PROVOST (FUNCTIONAL AREA),PROVOST (FUNCTIONAL AREA),1,349948,0,101384,451332,46187,497519,349948,0,101384,451332,46187,497519,1,56,https://transparentcalifornia.com/salaries/2013/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:08:23 UTC,2026-03-31-parser-v2
2013,DEAN (SCHOOL/COLLEGE)-EXEC,DEAN (SCHOOL/COLLEGE)-EXEC,3,322223.33,0,136074,458297.33,38327,496624.33,966669.99,0,408222,1374891.99,114981,1489872.99,1,56,https://transparentcalifornia.com/salaries/2013/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:08:23 UTC,2026-03-31-parser-v2
2013,CFO MED CTR,CFO MED CTR,4,367553.25,0,61977.5,429530.75,64057,493587.75,1470213,0,247910,1718123,256228,1974351,1,56,https://transparentcalifornia.com/salaries/2013/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:08:23 UTC,2026-03-31-parser-v2
2013,GEN COUNSEL VP LEGAL AFFAIRS,GEN COUNSEL VP LEGAL AFFAIRS,1,416000,0,8916,424916,64469,489385,416000,0,8916,424916,64469,489385,1,56,https://transparentcalifornia.com/salaries/2013/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:08:23 UTC,2026-03-31-parser-v2
2013,REAL ESTATE INV MGR 3,REAL ESTATE INV MGR 3,1,283490,0,162334,445824,43317,489141,283490,0,162334,445824,43317,489141,1,56,https://transparentcalifornia.com/salaries/2013/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:08:23 UTC,2026-03-31-parser-v2
