year,job_title,job_title_clean,count,avg_regular_pay,avg_overtime_pay,avg_other_pay,avg_total_pay,avg_benefits,avg_total_pay_benefits,estimated_regular_pay,estimated_overtime_pay,estimated_other_pay,estimated_total_pay,estimated_benefits,estimated_total_pay_benefits,source_page,source_total_pages,source_url,source_note,scraped_at_utc,cache_version
2021,Chf Inv Ofcr,CHF INV OFCR,1,700861,0,1212807,1913668,109362,2023030,700861,0,1212807,1913668,109362,2023030,1,64,https://transparentcalifornia.com/salaries/2021/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:16:31 UTC,2026-03-31-parser-v2
2021,Ceo Med Ctr,CEO MED CTR,6,1003780.5,0,349916.33,1353696.83,113835.67,1467532.5,6022683,0,2099497.98,8122180.98,683014.02,8805195,1,64,https://transparentcalifornia.com/salaries/2021/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:16:31 UTC,2026-03-31-parser-v2
2021,Svp Child Svc/Pres Benioff,SVP CHILD SVC/PRES BENIOFF,1,955351,0,299375,1254726,50313,1305039,955351,0,299375,1254726,50313,1305039,1,64,https://transparentcalifornia.com/salaries/2021/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:16:31 UTC,2026-03-31-parser-v2
2021,Exec Vp Uc Health,EXEC VP UC HEALTH,1,880672,0,244283,1124955,32468,1157423,880672,0,244283,1124955,32468,1157423,1,64,https://transparentcalifornia.com/salaries/2021/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:16:31 UTC,2026-03-31-parser-v2
2021,Ath Mgr 4 Pac12,ATH MGR 4 PAC12,2,284687.5,0,759075,1043762.5,39511,1083273.5,569375,0,1518150,2087525,79022,2166547,1,64,https://transparentcalifornia.com/salaries/2021/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:16:31 UTC,2026-03-31-parser-v2
2021,Vc And Dean Som,VC AND DEAN SOM,5,709564.2,0,247124.4,956688.6,62799.8,1019488.4,3547821,0,1235622,4783443,313999,5097442,1,64,https://transparentcalifornia.com/salaries/2021/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:16:31 UTC,2026-03-31-parser-v2
2021,Exec Vp Physcn Svc Vd Clin Aff,EXEC VP PHYSCN SVC VD CLIN AFF,1,713938,0,176723,890661,112267,1002928,713938,0,176723,890661,112267,1002928,1,64,https://transparentcalifornia.com/salaries/2021/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:16:31 UTC,2026-03-31-parser-v2
2021,Cso Head Of Hlth Affil Network,CSO HEAD OF HLTH AFFIL NETWORK,1,742693,0,183843,926536,51811,978347,742693,0,183843,926536,51811,978347,1,64,https://transparentcalifornia.com/salaries/2021/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:16:31 UTC,2026-03-31-parser-v2
2021,Cfo Med Ctr,CFO MED CTR,4,699609.75,0,169162.5,868772.25,86460.5,955232.75,2798439,0,676650,3475089,345842,3820931,1,64,https://transparentcalifornia.com/salaries/2021/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:16:31 UTC,2026-03-31-parser-v2
2021,President Of The Univ,PRESIDENT OF THE UNIV,1,849208,0,583,849791,68090,917881,849208,0,583,849791,68090,917881,1,64,https://transparentcalifornia.com/salaries/2021/university-of-california/job_title_summary/,"Note: The averages are designed to capture only those who have worked a full year, and excludes those who worked on a part-time, seasonal, or partial-year basis.",2026-03-31 09:16:31 UTC,2026-03-31-parser-v2
